DRG10401	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(1)
DRG12202	伴有心肌梗塞之循環性疾病，無心臟血管併發症，出院時存活者，無心導管
DRG12302	伴有心肌梗塞之循環性疾病，死亡者，無心導管
DRG124	循環性疾病，急性心肌梗塞除外，有心導管，有複雜診斷
DRG125	循環性疾病，急性心肌梗塞除外，有心導管，無複雜診斷
DRG126	急性及亞急性心內膜炎
DRG12701	心臟衰竭及休克，死亡或病危自動出院者
DRG12702	心臟衰竭及休克，非死亡或非病危自動出院者
DRG12801	深部血栓靜脈性炎，有合併症或併發症
DRG12802	深部血栓靜脈性炎，無合併症或併發症
DRG129	心跳停止，不明原因
DRG13001	末梢血管疾患(1)，有合併症或併發症
DRG13101	末梢血管疾患(1)，無合併症或併發症
DRG13002	末梢血管疾患(2)，有合併症或併發症
DRG13102	末梢血管疾患(2)，無合併症或併發症
DRG132	動脈粥樣硬化，有合併症或併發症
DRG133	動脈粥樣硬化，無合併症或併發症
DRG13401	高血壓，有合併症或併發症
DRG13402	高血壓，無合併症或併發症
DRG135	先天性心臟及瓣膜疾患，年齡大於等於18歲，有合併症或併發症
DRG136	先天性心臟及瓣膜疾患，年齡大於等於18歲，無合併症或併發症
DRG13701	先天性心臟及瓣膜疾患，年齡0-17歲，有合併症或併發症
DRG13702	先天性心臟及瓣膜疾患，年齡0-17歲，無合併症或併發症
DRG13801	心律不整及傳導障礙(1)，有合併症或併發症
DRG13901	心律不整及傳導障礙(1)，無合併症或併發症
DRG13802	心律不整及傳導障礙(2)未施行經由靜脈暫時性心臟整律器系統移植術，有合併症或併發症
DRG13902	心律不整及傳導障礙(2)未施行經由靜脈暫時性心臟整律器系統移植術，無合併症或併發症
DRG13804	心律不整及傳導障礙(2)有施行經由靜脈暫時性心臟整律器系統移植術，有合併症或併發症
DRG13904	心律不整及傳導障礙(2)有施行經由靜脈暫時性心臟整律器系統移植術，無合併症或併發症
DRG13803	心律不整及傳導障礙(3)未施行經由靜脈暫時性心臟整律器系統移植術，有合併症或併發症
DRG13903	心律不整及傳導障礙(3)未施行經由靜脈暫時性心臟整律器系統移植術，無合併症或併發症
DRG13805	心律不整及傳導障礙(3)有施行經由靜脈暫時性心臟整律器系統移植術，有合併症或併發症
DRG13905	心律不整及傳導障礙(3) 有施行經由靜脈暫時性心臟整律器系統移植術，無合併症或併發症
DRG14001	心絞痛，有合併症或併發症
DRG14002	心絞痛，無合併症或併發症
DRG141	暈厥及虛脫，有合併症或併發症
DRG142	暈厥及虛脫，無合併症或併發症
DRG143	胸痛
DRG14401	其他循環系統診斷(1)，有合併症或併發症
DRG14501	其他循環系統診斷(1)，無合併症或併發症
DRG14402	其他循環系統診斷(2)，有合併症或併發症
DRG14502	其他循環系統診斷(2)，無合併症或併發症
DRG14403	其他循環系統診斷(3)，有合併症或併發症
DRG14503	其他循環系統診斷(3)，無合併症或併發症
DRG47801	其他血管手術(1)，有合併症或併發症
DRG47901	其他血管手術(1)，無合併症或併發症
DRG47802	其他血管手術(2)，有合併症或併發症
DRG47902	其他血管手術(2)，無合併症或併發症
DRG47803	其他血管手術(3)，未施行非冠狀動脈血管成形術及血管支架植入術，有合併症或併發症
DRG47903	其他血管手術(3)，未施行非冠狀動脈血管成形術及血管支架植入術，無合併症或併發症
DRG47804	其他血管手術(3)，有施行非冠狀動脈血管成形術及血管支架植入術，有合併症或併發症
DRG47904	其他血管手術(3)，有施行非冠狀動脈血管成形術及血管支架植入術，無合併症或併發症
