DRG14601	直腸切除術，年齡大於等於41歲，有合併症或併發症
DRG16303	雙側及其他疝氣手術，年齡0-17歲，有合併症或併發症
DRG16304	雙側及其他疝氣手術，年齡0-17歲，無合併症或併發症
DRG16305	單側疝氣手術，年齡0-17歲，有合併症或併發症
DRG16306	單側疝氣手術，年齡0-17歲，無合併症或併發症
DRG16401	複雜診斷之腹腔鏡闌尾切除術，有合併症或併發症
DRG16501	複雜診斷之腹腔鏡闌尾切除術，無合併症或併發症
DRG16402	複雜診斷之闌尾切除術，有合併症或併發症
DRG16502	複雜診斷之闌尾切除術，無合併症或併發症
DRG16601	單純性腹腔鏡闌尾切除術，有合併症或併發症
DRG16701	單純性腹腔鏡闌尾切除術，無合併症或併發症
DRG16602	單純性闌尾切除術，有合併症或併發症
DRG16702	單純性闌尾切除術，無合併症或併發症
DRG170	其他消化系統手術，有合併症或併發症
DRG171	其他消化系統手術，無合併症或併發症
DRG17201	食道、胃之原位癌，有合併症或併發症
DRG17301	食道、胃之原位癌，無合併症或併發症
DRG17202	結腸、直腸、肛管、肛門之原位癌，有合併症或併發症
DRG17302	結腸、直腸、肛管、肛門之原位癌，無合併症或併發症
DRG17203	其他消化系統原位癌或性質未明腫瘤，有合併症或併發症
DRG17303	其他消化系統原位癌或性質未明腫瘤，無合併症或併發症
DRG17401	胃腸出血(1)，有合併症或併發症
DRG17501	胃腸出血(1)，無合併症或併發症
DRG17402	胃腸出血(2)，有合併症或併發症
DRG17502	胃腸出血(2)，無合併症或併發症
DRG17403	胃腸出血(3)，有合併症或併發症
DRG17503	胃腸出血(3)，無合併症或併發症
DRG17404	胃腸出血(4)，有合併症或併發症
DRG17504	胃腸出血(4)，無合併症或併發症
DRG17601	重度消化性潰瘍(1)，有合併症或併發症
DRG17602	重度消化性潰瘍(1)，無合併症或併發症
DRG17603	重度消化性潰瘍(2)，有合併症或併發症
DRG17604	重度消化性潰瘍(2)，無合併症或併發症
DRG177	輕度消化性潰瘍，有合併症或併發症
DRG178	輕度消化性潰瘍，無合併症或併發症
DRG17901	腸炎(1)
DRG17902	腸炎(2)，有合併症或併發症
DRG17903	腸炎(2)，無合併症或併發症
DRG180	胃腸阻塞，有合併症或併發症
DRG181	胃腸阻塞，無合併症或併發症
DRG182	食道炎、胃腸炎及各種消化性疾病，年齡大於等於18歲，有合併症或併發症
DRG183	食道炎、胃腸炎及各種消化性疾病，年齡大於等於18歲，無合併症或併發症
DRG18401	食道炎、胃腸炎及各種消化性疾病，年齡0-17歲，有合併症或併發症
DRG18402	食道炎、胃腸炎及各種消化性疾病，年齡0-17歲，無合併症或併發症
DRG18801	其他消化系統診斷(1)，年齡大於等於18歲，有合併症或併發症
DRG18901	其他消化系統診斷(1)，年齡大於等於18歲，無合併症或併發症
DRG19001	其他消化系統診斷(1)，年齡0-17歲，有合併症或併發症
DRG19002	其他消化系統診斷(1)，年齡0-17歲，無合併症或併發症
DRG18802	其他消化系統診斷(2)，年齡大於等於18歲，有合併症或併發症
DRG18902	其他消化系統診斷(2)，年齡大於等於18歲，無合併症或併發症
DRG19003	其他消化系統診斷(2)，年齡0~17歲，有合併症或併發症
DRG19004	其他消化系統診斷(2)，年齡0~17歲，無合併症或併發症
DRG18803	其他消化系統診斷(3)，年齡大於等於18歲，有合併症或併發症
DRG18903	其他消化系統診斷(3)，年齡大於等於18歲，無合併症或併發症
DRG19005	其他消化系統診斷(3)，年齡0-17歲，有合併症或併發症
DRG19006	其他消化系統診斷(3)，年齡0-17歲，無合併症或併發症
DRG18804	其他消化系統診斷(4)，年齡大於等於18歲，有合併症或併發症
DRG18904	其他消化系統診斷(4)，年齡大於等於18歲，無合併症或併發症
DRG19007	其他消化系統診斷(4)，年齡0-17歲，有合併症或併發症
DRG19008	其他消化系統診斷(4)，年齡0-17歲，無合併症或併發症
DRG18805	其他消化系統診斷(5)，年齡大於等於18歲，有合併症或併發症
DRG18905	其他消化系統診斷(5)，年齡大於等於18歲，無合併症或併發症
DRG19009	其他消化系統診斷(5)，年齡0-17歲，有合併症或併發症
DRG19010	其他消化系統診斷(5)，年齡0-17歲，無合併症或併發症
