DRG14601	直腸切除術，年齡大於等於41歲，有合併症或併發症
DRG16303	雙側及其他疝氣手術，年齡0-17歲，有合併症或併發症
DRG16304	雙側及其他疝氣手術，年齡0-17歲，無合併症或併發症
DRG16305	單側疝氣手術，年齡0-17歲，有合併症或併發症
DRG16306	單側疝氣手術，年齡0-17歲，無合併症或併發症
DRG16401	複雜診斷之腹腔鏡闌尾切除術，有合併症或併發症
DRG16501	複雜診斷之腹腔鏡闌尾切除術，無合併症或併發症
DRG16402	複雜診斷之闌尾切除術，有合併症或併發症
DRG16502	複雜診斷之闌尾切除術，無合併症或併發症
DRG16601	單純性腹腔鏡闌尾切除術，有合併症或併發症
DRG16701	單純性腹腔鏡闌尾切除術，無合併症或併發症
DRG16602	單純性闌尾切除術，有合併症或併發症
DRG16702	單純性闌尾切除術，無合併症或併發症
DRG170	其他消化系統手術，有合併症或併發症
DRG171	其他消化系統手術，無合併症或併發症
DRG17201	食道、胃之原位癌，有合併症或併發症
DRG17301	食道、胃之原位癌，無合併症或併發症
DRG17202	結腸、直腸、肛管、肛門之原位癌，有合併症或併發症
DRG17302	結腸、直腸、肛管、肛門之原位癌，無合併症或併發症
DRG17203	其他消化系統原位癌或性質未明腫瘤，有合併症或併發症
DRG17303	其他消化系統原位癌或性質未明腫瘤，無合併症或併發症
DRG17401	胃腸出血(1)，有合併症或併發症
DRG17501	胃腸出血(1)，無合併症或併發症
DRG17402	胃腸出血(2)，有合併症或併發症
DRG17502	胃腸出血(2)，無合併症或併發症
DRG17403	胃腸出血(3)，有合併症或併發症
DRG17503	胃腸出血(3)，無合併症或併發症
DRG17404	胃腸出血(4)，有合併症或併發症
DRG17504	胃腸出血(4)，無合併症或併發症
DRG17601	重度消化性潰瘍(1)，有合併症或併發症
DRG17602	重度消化性潰瘍(1)，無合併症或併發症
DRG17603	重度消化性潰瘍(2)，有合併症或併發症
DRG17604	重度消化性潰瘍(2)，無合併症或併發症
DRG177	輕度消化性潰瘍，有合併症或併發症
DRG178	輕度消化性潰瘍，無合併症或併發症
DRG17901	腸炎(1)
DRG17902	腸炎(2)，有合併症或併發症
DRG17903	腸炎(2)，無合併症或併發症
DRG180	胃腸阻塞，有合併症或併發症
DRG181	胃腸阻塞，無合併症或併發症
DRG182	食道炎、胃腸炎及各種消化性疾病，年齡大於等於18歲，有合併症或併發症
DRG183	食道炎、胃腸炎及各種消化性疾病，年齡大於等於18歲，無合併症或併發症
DRG18401	食道炎、胃腸炎及各種消化性疾病，年齡0-17歲，有合併症或併發症
DRG18402	食道炎、胃腸炎及各種消化性疾病，年齡0-17歲，無合併症或併發症
DRG18801	其他消化系統診斷(1)，年齡大於等於18歲，有合併症或併發症
DRG18901	其他消化系統診斷(1)，年齡大於等於18歲，無合併症或併發症
DRG19001	其他消化系統診斷(1)，年齡0-17歲，有合併症或併發症
DRG19002	其他消化系統診斷(1)，年齡0-17歲，無合併症或併發症
DRG18802	其他消化系統診斷(2)，年齡大於等於18歲，有合併症或併發症
DRG18902	其他消化系統診斷(2)，年齡大於等於18歲，無合併症或併發症
DRG19003	其他消化系統診斷(2)，年齡0~17歲，有合併症或併發症
DRG19004	其他消化系統診斷(2)，年齡0~17歲，無合併症或併發症
DRG18803	其他消化系統診斷(3)，年齡大於等於18歲，有合併症或併發症
DRG18903	其他消化系統診斷(3)，年齡大於等於18歲，無合併症或併發症
DRG19005	其他消化系統診斷(3)，年齡0-17歲，有合併症或併發症
DRG19006	其他消化系統診斷(3)，年齡0-17歲，無合併症或併發症
DRG18804	其他消化系統診斷(4)，年齡大於等於18歲，有合併症或併發症
DRG18904	其他消化系統診斷(4)，年齡大於等於18歲，無合併症或併發症
DRG19007	其他消化系統診斷(4)，年齡0-17歲，有合併症或併發症
DRG19008	其他消化系統診斷(4)，年齡0-17歲，無合併症或併發症
DRG18805	其他消化系統診斷(5)，年齡大於等於18歲，有合併症或併發症
DRG18905	其他消化系統診斷(5)，年齡大於等於18歲，無合併症或併發症
DRG19009	其他消化系統診斷(5)，年齡0-17歲，有合併症或併發症
DRG19010	其他消化系統診斷(5)，年齡0-17歲，無合併症或併發症
DRG191	胰、肝及其吻合性手術，有合併症或併發症
DRG192	胰、肝及其吻合性手術，無合併症或併發症
DRG193	膽道手術，膽囊切除術除外，有或無總膽管探查，有合併症或併發症
DRG194	膽道手術，膽囊切除術除外，有或無總膽管探查，無合併症或併發症
DRG195	膽囊切除術，有總膽管探查，有合併症或併發症
DRG196	膽囊切除術，有總膽管探查，無合併症或併發症
DRG197	膽囊切除術，無總膽管探查，有合併症或併發症
DRG198	膽囊切除術，無總膽管探查，無合併症或併發症
DRG199	肝、膽原位癌之診斷性手術
DRG20001	其他肝、膽之診斷性手術，有合併症或併發症
DRG20002	其他肝、膽之診斷性手術，無合併症或併發症
DRG20101	其他肝、膽或胰臟手術，有合併症與併發症
DRG20102	其他肝、膽或胰臟手術，無合併症與併發症
DRG20201	肝硬化及酒精性肝炎，有合併症或併發症
DRG20202	肝硬化及酒精性肝炎，無合併症或併發症
DRG20301	肝、膽系統原位癌，有合併症或併發症
DRG20302	肝、膽系統原位癌，無合併症或併發症
DRG20401	胰臟疾患
DRG20402	胰臟創傷或移植後，有合併症或併發症
DRG20403	胰臟創傷或移植後，無合併症或併發症
DRG205	肝疾患，肝硬化及酒精性肝炎除外，有合併症或併發症
DRG206	肝疾患，肝硬化及酒精性肝炎除外， 無合併症或併發症
DRG207	膽道疾患，有合併症或併發症
DRG208	膽道疾患，無合併症或併發症
DRG49301	腹腔鏡膽囊切除術，有內視鏡手術，無總膽管探查，有合併症或併發症
DRG49401	腹腔鏡膽囊切除術，有內視鏡手術，無總膽管探查，無合併症或併發症
DRG49302	腹腔鏡膽囊切除術，無內視鏡手術，無總膽管探查，有合併症或併發症
DRG49402	腹腔鏡膽囊切除術，無內視鏡手術，無總膽管探查，無合併症或併發症
DRG20901	髖關節再置換術，有合併症或併發症
DRG20902	髖關節再置換術，無合併症或併發症
DRG20907	膝關節再置換術，有合併症或併發症
DRG20908	膝關節再置換術，無合併症或併發症
DRG20903	全髖關節置換術
DRG20904	部分髖關節置換術
DRG20905	全膝關節置換術
DRG20906	全踝關節置換術及下肢重附著術
DRG21001	開放性骨折，髖及股骨手術，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21101	開放性骨折，髖及股骨手術，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21201	開放性骨折，髖及股骨手術，下肢關節除外，年齡0-17歲，有合併症或併發症
DRG21202	開放性骨折，髖及股骨手術，下肢關節除外，年齡0-17歲，無合併症或併發症
DRG21002	主或次診斷為感染之髖及股骨手術，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21102	主或次診斷為感染之髖及股骨手術，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21203	主或次診斷為感染之髖及股骨手術，下肢關節除外，年齡0-17歲，有合併症或併發症
DRG21204	主或次診斷為感染之髖及股骨手術，下肢關節除外，年齡0-17歲，無合併症或併發症
DRG21003	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21103	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21205	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術，下肢關節除外，年齡0-17歲，有合併症或併發症
DRG21206	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術，下肢關節除外，年齡0-17歲，無合併症或併發症
DRG21301	骨骼、肌肉系統及結締組織之截斷術(1)，有合併症或併發症
DRG21302	骨骼、肌肉系統及結締組織之截斷術(1)，無合併症或併發症
DRG21303	骨骼、肌肉系統及結締組織之截斷術(2)，有合併症或併發症
DRG21304	骨骼、肌肉系統及結締組織之截斷術(2)，無合併症或併發症
DRG21305	骨骼、肌肉系統及結締組織之截斷術(3)，有合併症或併發症
DRG21306	骨骼、肌肉系統及結締組織之截斷術(3)，無合併症或併發症
DRG21601	骨骼、肌肉系統及結締組織之活體切片，有合併症或併發症
DRG21602	骨骼、肌肉系統及結締組織之活體切片，無合併症或併發症
DRG21701	骨骼、肌肉系統及結締組織疾患之擴創術及皮膚移植術，手除外(1)，有合併症或併發症
DRG21702	骨骼、肌肉系統及結締組織疾患之擴創術及皮膚移植術，手除外(1)，無合併症或併發症
DRG21703	骨骼、肌肉系統及結締組織疾患之擴創術及皮膚移植術，手除外(2)，有合併症或併發症
DRG21704	骨骼、肌肉系統及結締組織疾患之擴創術及皮膚移植術，手除外(2)，無合併症或併發症
DRG21801	開放性骨折，下肢及肱骨手術，髖、足及股骨除外(1)，年齡大於等於18歲，有合併症或併發症
DRG21901	開放性骨折，下肢及肱骨手術，髖、足及股骨除外(1)，年齡大於等於18歲，無合併症或併發症
DRG22001	開放性骨折，下肢及肱骨手術，髖、足及股骨除外(1)，年齡0-17歲，有合併症或併發症
DRG22002	開放性骨折，下肢及肱骨手術，髖、足及股骨除外(1)，年齡0-17歲，無合併症或併發症
DRG21803	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術，髖、足及股骨除外(1)，年齡大於等於18歲，有合併症或併發症
DRG21903	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術，髖、足及股骨除外(1)，年齡大於等於18歲，無合併症或併發症
DRG22005	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術，髖、足及股骨除外(1)，年齡0-17歲，有合併症或併發症
DRG22006	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術，髖、足及股骨除外(1)，年齡0-17歲，無合併症或併發症
DRG21802	開放性骨折，下肢及肱骨手術，髖、足及股骨除外(2)，年齡大於等於18歲，有合併症或併發症
DRG21902	開放性骨折，下肢及肱骨手術，髖、足及股骨除外(2)，年齡大於等於18歲，無合併症或併發症
DRG22003	開放性骨折，下肢及肱骨手術，髖、足及股骨除外(2)，年齡0-17歲，有合併症或併發症
DRG22004	開放性骨折，下肢及肱骨手術，髖、足及股骨除外(2)，年齡0-17歲，無合併症或併發症
DRG21804	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術，髖、足及股骨除外(2)，年齡大於等於18歲，有合併症或併發症
DRG21904	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術，髖、足及股骨除外(2)，年齡大於等於18歲，無合併症或併發症
DRG22007	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術，髖、足及股骨除外(2)，年齡0-17歲，有合併症或併發症
DRG22008	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患下肢及肱骨手術，髖、足及股骨除外(2)，年齡0-17歲，無合併症或併發症
DRG22301	開放性骨折，主要肩肘關節手術
DRG22302	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，主要肩肘關節手術
DRG22401	開放性骨折，其他肩肘或上肢手術，有合併症或併發症
DRG22402	開放性骨折，其他肩肘或上肢手術，無合併症或併發症
DRG22403	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，其他肩肘或上肢手術，有合併症或併發症
DRG22404	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，其他肩肘或上肢手術，無合併症或併發症
DRG22501	開放性骨折，足部手術，有合併症與併發症
DRG22502	開放性骨折，足部手術，無合併症與併發症
DRG22503	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，足部手術，有合併症與併發
DRG22504	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，足部手術，無合併症與併發症
DRG22601	軟組織手術(1)，有合併症或併發症
DRG22701	軟組織手術(1)，無合併症或併發症
DRG22602	軟組織手術(2)，有合併症或併發症
DRG22702	軟組織手術(2)，無合併症或併發症
DRG228	拇指或關節手術，或其他手或腕手術有合併症或併發症
DRG22901	開放性骨折，其他手或腕手術，無合併症或併發症
DRG22902	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，其他手或腕手術，無合併症或併發症
DRG23001	髖及股骨內局部切除術，有合併症與併發症
DRG23002	髖及股骨內局部切除術，無合併症與併發症
DRG23003	股骨內固定器移除術，有合併症與併發症
DRG23004	股骨內固定器移除術，無合併症與併發症
DRG23101	局部切除術，髖及股骨除外，有合併症與併發症
DRG23102	局部切除術，髖及股骨除外，無合併症與併發症
DRG23103	內固定器移除術，髖及股骨除外，有合併症與併發症
DRG23104	內固定器移除術，髖及股骨除外，無合併症與併發症
DRG23201	關節內視鏡檢查，有合併症與併發症
DRG23202	關節內視鏡檢查，無合併症與併發症
DRG23301	其他顱骨手術，有合併症或併發症
DRG23302	其他顱骨手術，無合併症或併發症
DRG23401	其他骨骼、肌肉系統及結締組織手術，顱骨除外，有合併症或併發症
DRG23402	其他骨骼、肌肉系統及結締組織手術，顱骨除外，無合併症或併發症
DRG23501	股骨骨折(1)，有合併症或併發症
DRG23502	股骨骨折(1)，無合併症或併發症
DRG23503	股骨骨折(2)，有合併症或併發症
DRG23504	股骨骨折(2)，無合併症或併發症
DRG23601	髖骨及骨盆骨折，有合併症或併發症
DRG23602	髖骨及骨盆骨折，無合併症或併發症
DRG23701	髖骨、骨盆及大腿骨之扭傷、拉傷及脫臼，有合併症或併發症
DRG23702	髖骨、骨盆及大腿骨之扭傷、拉傷及脫臼，無合併症或併發症
DRG23801	骨髓炎(1)，有合併症或併發症
DRG23802	骨髓炎(1)，無合併症或併發症
DRG23803	骨髓炎(2)，有合併症或併發症
DRG23804	骨髓炎(2)，無合併症或併發症
DRG23805	骨髓炎(3)，有合併症或併發症
DRG23806	骨髓炎(3)，無合併症或併發症
DRG23901	病理性骨折及骨骼、肌肉及結締組織之腫瘤，有合併症或併發症
DRG23902	病理性骨折及骨骼、肌肉及結締組織之腫瘤，無合併症或併發症
DRG24001	結締組織疾患(1)，有合併症或併發症
DRG24101	結締組織疾患(1)，無合併症或併發症
DRG24002	結締組織疾患(2)，有合併症或併發症
DRG24102	結締組織疾患(2)，無合併症或併發症
DRG24003	結締組織疾患(3)，有合併症或併發症
DRG24103	結締組織疾患(3)，無合併症或併發症
DRG24201	敗血性關節炎，有合併症或併發症
DRG24202	敗血性關節炎，無合併症或併發症
DRG24203	結核菌性關節炎，有合併症或併發症
DRG24204	結核菌性關節炎，無合併症或併發症
DRG24205	其他感染性關節炎，有合併症或併發症
DRG24206	其他感染性關節炎，無合併症或併發症
DRG24301	發炎性脊椎病變問題
DRG24302	內科性背部問題
DRG244	骨骼疾病及特定關節病變，有合併症或併發症
DRG245	骨骼疾病及特定關節病變，無合併症或併發症
DRG24601	未明示之關節病變，有合併症或併發症
DRG24602	未明示之關節病變，無合併症或併發症
DRG24701	骨骼、肌肉系統及結締組織之症狀及徵候，有合併症或併發症
DRG24702	骨骼、肌肉系統及結締組織之症狀及徵候，無合併症或併發症
DRG24801	肌腱炎、肌炎及滑囊炎，有合併症或併發症
DRG24802	肌腱炎、肌炎及滑囊炎，無合併症或併發症
DRG24901	體內關節裝置物所致之感染及發炎反應，有合併症或併發症
DRG24902	體內關節裝置物所致之感染及發炎反應，無合併症或併發症
DRG24903	骨骼、肌肉系統及結締組織之恢復期照護，有合併症或併發症
DRG24904	骨骼、肌肉系統及結締組織之恢復期照護，無合併症或併發症
DRG250	前臂、手及足部之骨折、扭傷、拉傷及脫臼，年齡大於等於18歲，有合併症或併發症
DRG251	前臂、手及足部之骨折、扭傷、拉傷及脫臼，年齡大於等於18歲，無合併症或併發症
DRG252	前臂、手及足部之骨折、扭傷、拉傷及脫臼，年齡0~17歲
DRG253	上臂、小腿骨折、扭傷、拉傷及脫臼，年齡大於等於18歲，有合併症或併發症
DRG254	上臂、小腿骨折、扭傷、拉傷及脫臼，年齡大於等於18歲，無合併症或併發症
DRG255	上臂、小腿骨折、扭傷、拉傷及脫臼，年齡0-17歲
DRG25601	截肢殘肢之診斷，有合併症或併發症
DRG25602	截肢殘肢之診斷，無合併症或併發症
DRG25603	其他骨骼、肌肉系統及結締組織之診斷，有合併症或併發症
DRG25604	其他骨骼、肌肉系統及結締組織之診斷，無合併症或併發症
DRG47101	下肢兩側或多發性關節手術(1)，有合併症或併發症
DRG47102	下肢兩側或多發性關節手術(1)，無合併症或併發症
DRG47103	下肢兩側或多發性關節手術(2)
DRG49101	肩關節置換術，有合併症或併發症
DRG49102	肩關節置換術，無合併症或併發症
DRG49201	其他上肢關節接肢手術，有合併症或併發症
DRG49202	其他上肢關節接肢手術，無合併症或併發症
DRG496	前、後側合併脊椎融合術
DRG49701	後側及其他脊椎融合術，有合併症或併發症
DRG49702	後側及其他脊椎融合術，無合併症或併發症
DRG49801	前側脊椎融合術，有合併症或併發症
DRG49802	前側脊椎融合術，無合併症或併發症
DRG499	背及頸椎手術，脊椎融合術除外，有合併症或併發症
DRG500	背及頸椎手術，脊椎融合術除外，無合併症或併發症
DRG501	主要診斷為膝關節感染之手術，有合併症或併發症
DRG502	主要診斷為膝關節感染之手術，無合併症或併發症
DRG50301	主要診斷非膝關節感染之十字韌帶手術，有合併症或併發症
DRG50302	主要診斷非膝關節感染之十字韌帶手術，無合併症或併發症
DRG50303	主要診斷非膝關節感染之手術，有合併症或併發症
DRG50304	主要診斷非膝關節感染之手術，無合併症或併發症
DRG25701	雙側乳房原位癌全切除術或全乳房重建，有合併症或併發症
DRG25801	雙側乳房原位癌全切除術或全乳房重建，無合併症或併發症
DRG25702	單側乳房原位癌全切除術，有合併症或併發症
DRG25802	單側乳房原位癌全切除術，無合併症或併發症
DRG259	乳房原位癌次全切除術，有合併症或併發症
DRG260	乳房原位癌次全切除術，無合併症或併發症
DRG261	乳房非惡性腫瘤手術，活體切片及局部切除術除外
DRG26201	乳房非惡性腫瘤之活體切片及局部切除術，有合併症或併發症
DRG26202	乳房非惡性腫瘤之活體切片及局部切除術，無合併症或併發症
DRG263	皮膚潰瘍或蜂窩組織炎，皮膚移植或擴創術，有合併症或併發症
DRG264	皮膚潰瘍或蜂窩組織炎，皮膚移植或擴創術，無合併症或併發症
DRG265	皮膚移植或擴創術，皮膚潰瘍或蜂窩組織炎除外，有合併症或併發症
DRG266	皮膚移植或擴創術，皮膚潰瘍或蜂窩組織炎除外，無合併症或併發症
DRG26701	肛門周圍及潛毛性手術 ，有合併症或併發症
DRG26702	肛門周圍及潛毛性手術 ，無合併症或併發症
DRG26801	皮膚、皮下組織及乳房整形手術，有合併症或併發症
DRG26802	皮膚、皮下組織及乳房整形手術，無合併症或併發症
DRG269	其他皮膚、皮下組織及乳房手術，有合併症或併發症
DRG270	其他皮膚、皮下組織及乳房手術，無合併症或併發症
DRG271	皮膚潰瘍
DRG27201	重大皮膚疾患(1)，有合併症或併發症
DRG27301	重大皮膚疾患(1)，無合併症或併發症
DRG27202	重大皮膚疾患(2)，有合併症或併發症
DRG27302	重大皮膚疾患(2)，無合併症或併發症
DRG27203	重大皮膚疾患(3)，有合併症或併發症
DRG27303	重大皮膚疾患(3)，無合併症或併發症
DRG274	乳房原位癌，有合併症或併發症
DRG275	乳房原位癌，無合併症或併發症
DRG27601	非惡性乳房疾患，有合併症或併發症
DRG27602	非惡性乳房疾患，無合併症或併發症
DRG277	蜂窩組織炎，年齡大於等於18歲，有合併症或併發症
DRG278	蜂窩組織炎，年齡大於等於18歲，無合併症或併發症
DRG27901	蜂窩組織炎，年齡0-17歲，有合併症或併發症
DRG27902	蜂窩組織炎，年齡0-17歲，無合併症或併發症
DRG280	皮膚、皮下組織及乳房創傷，年齡大於等於18歲，有合併症或併發症
DRG281	皮膚、皮下組織及乳房創傷，年齡大於等於18歲，無合併症或併發症
DRG282	皮膚、皮下組織及乳房創傷，年齡0-17歲
DRG28301	輕度皮膚疾患(1)，有合併症或併發症
DRG28401	輕度皮膚疾患(1)，無合併症或併發症
DRG28302	輕度皮膚疾患(2)，有合併症或併發症
DRG28402	輕度皮膚疾患(2)，無合併症或併發症
DRG28501	內分泌、營養及新陳代謝疾患之下肢截斷術，有合併症或併發症
DRG28502	內分泌、營養及新陳代謝疾患之下肢截斷術，無合併症或併發症
DRG28601	腎上腺及腦下垂體手術，有合併症或併發症
DRG28602	腎上腺及腦下垂體手術，無合併症或併發症
DRG28701	內分泌、營養及新陳代謝疾患之皮膚移植及擴創術，有合併症或併發症
DRG28702	內分泌、營養及新陳代謝疾患之皮膚移植及擴創術，無合併症或併發症
DRG28801	肥胖手術，有合併症或併發症
DRG28802	肥胖手術，無合併症或併發症
DRG28901	副甲狀腺手術，有合併症或併發症
DRG28902	副甲狀腺手術，無合併症或併發症
DRG290	甲狀腺手術
DRG29101	甲狀舌管手術，有合併症或併發症
DRG29102	甲狀舌管手術，無合併症或併發症
DRG292	其他內分泌、營養及新陳代謝手術，有合併症或併發症
DRG293	其他內分泌、營養及新陳代謝手術，無合併症或併發症
DRG29401	糖尿病，年齡大於等於36歲，有合併症或併發症
DRG29402	糖尿病，年齡大於等於36歲，無合併症或併發症
DRG29501	糖尿病，年齡0-35歲，有合併症或併發症
DRG29502	糖尿病，年齡0-35歲，無合併症或併發症
DRG29601	營養及各種新陳代謝疾患(1)，年齡大於等於18歲，有合併症或併發症
DRG29701	營養及各種新陳代謝疾患(1)，年齡大於等於18歲，無合併症或併發症
DRG29801	營養及各種新陳代謝疾患(1)，年齡0-17歲，有合併症或併發症
DRG29802	營養及各種新陳代謝疾患(1)，年齡0-17歲，無合併症或併發症
DRG29602	營養及各種新陳代謝疾患(2)，年齡大於等於18歲，有合併症或併發症
DRG29702	營養及各種新陳代謝疾患(2)，年齡大於等於18歲，無合併症或併發症
DRG29803	營養及各種新陳代謝疾患(2)，年齡0-17歲，有合併症或併發症
DRG29804	營養及各種新陳代謝疾患(2)，年齡0-17歲，無合併症或併發症
DRG29901	先天性新陳代謝異常(1)，有合併症或併發症
DRG29902	先天性新陳代謝異常(1)，無合併症或併發症
DRG29903	先天性新陳代謝異常(2)，有合併症或併發症
DRG29904	先天性新陳代謝異常(2)，無合併症或併發症
DRG30001	內分泌系統良性腫瘤，有合併症或併發症
DRG30101	內分泌系統良性腫瘤，無合併症或併發症
DRG30002	內分泌疾患，有合併症或併發症
DRG30102	內分泌疾患，無合併症或併發症
DRG30201	腎移植，有合併症或併發症
DRG30202	腎移植，無合併症或併發症
DRG30301	腎、輸尿管及膀胱腫瘤手術，有合併症或併發症
DRG30302	腎、輸尿管及膀胱腫瘤手術，無合併症或併發症
DRG304	腎、輸尿管及膀胱非惡性腫瘤手術，有合併症或併發症
DRG305	腎、輸尿管及膀胱非惡性腫瘤手術，無合併症或併發症
DRG306	攝護腺切除術，有合併症或併發症
DRG307	攝護腺切除術，無合併症或併發症
DRG308	膀胱小手術，有合併症或併發症
DRG309	膀胱小手術，無合併症或併發症
DRG310	經由尿道之手術，有合併症或併發症
DRG311	經由尿道之手術，無合併症或併發症
DRG312	尿道手術，年齡大於等於18歲，有合併症或併發症
DRG313	尿道手術，年齡大於等於18歲，無合併症或併發症
DRG314	尿道手術，年齡0-17歲
DRG31501	其他腎及尿道手術，有合併症或併發症
DRG31502	其他腎及尿道手術，無合併症或併發症
DRG31601	腎衰竭，有合併症或併發症，洗腎
DRG31602	腎衰竭，無合併症或併發症，洗腎
DRG31603	腎衰竭，有合併症或併發症，無洗腎
DRG31604	腎衰竭，無合併症或併發症，無洗腎
DRG317	住診血液透析
DRG318	腎及泌尿道腫瘤，有合併症或併發症
DRG319	腎及泌尿道腫瘤，無合併症或併發症
DRG320	腎及泌尿道感染，年齡大於等於18歲，有合併症或併發症
DRG321	腎及泌尿道感染，年齡大於等於18歲，無合併症或併發症
DRG32201	腎及泌尿道感染，年齡0-17歲，有合併症或併發症
DRG32202	腎及泌尿道感染，年齡0-17歲，無合併症或併發症
DRG32301	尿道結石，有體外震波碎石術治療(1)，有合併症或併發症
DRG32401	尿道結石，有體外震波碎石術治療(1)，無合併症或併發症
DRG32302	尿道結石，無體外震波碎石術治療(2)，有合併症或併發症
DRG32402	尿道結石，無體外震波碎石術治療(2)，無合併症或併發症
DRG325	腎及泌尿道症狀及徵候，年齡大於等於18歲，有合併症或併發症
DRG326	腎及泌尿道症狀及徵候，年齡大於等於18歲，無合併症或併發症
