DRG20901	髖關節再置換術，有合併症或併發症
DRG21812	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術兩處以上，髖、足及股骨除外(1)，年齡大於等於18歲，有合併症或併發症
DRG21912	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術兩處以上，髖、足及股骨除外(1)，年齡大於等於18歲，無合併症或併發症
DRG22013	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術兩處以上，髖、足及股骨除外(1)，年齡0-17歲，有合併症或併發症
DRG22014	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術兩處以上，髖、足及股骨除外(1)，年齡0-17歲，無合併症或併發症
DRG21803	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術1處，髖、足及股骨除外(1)，年齡大於等於18歲，有合併症或併發症
DRG21903	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術1處，髖、足及股骨除外(1)，年齡大於等於18歲，無合併症或併發症
DRG22005	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術1處，髖、足及股骨除外(1)，年齡0-17歲，有合併症或併發症
DRG22006	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術1處，髖、足及股骨除外(1)，年齡0-17歲，無合併症或併發症
DRG21813	開放性骨折，下肢及肱骨手術兩處以上，髖、足及股骨除外(2)，年齡大於等於18歲，有合併症或併發症
DRG21913	開放性骨折，下肢及肱骨手術兩處以上，髖、足及股骨除外(2)，年齡大於等於18歲，無合併症或併發症
DRG22015	開放性骨折，下肢及肱骨手術兩處以上，髖、足及股骨除外(2)，年齡0-17歲，有合併症或併發症
DRG22016	開放性骨折，下肢及肱骨手術兩處以上，髖、足及股骨除外(2)，年齡0-17歲，無合併症或併發症
DRG21802	開放性骨折，下肢及肱骨手術1處，髖、足及股骨除外(2)，年齡大於等於18歲，有合併症或併發症
DRG21902	開放性骨折，下肢及肱骨手術1處，髖、足及股骨除外(2)，年齡大於等於18歲，無合併症或併發症
DRG22003	開放性骨折，下肢及肱骨手術1處，髖、足及股骨除外(2)，年齡0-17歲，有合併症或併發症
DRG22004	開放性骨折，下肢及肱骨手術1處，髖、足及股骨除外(2)，年齡0-17歲，無合併症或併發症
DRG21814	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術兩處以上，髖、足及股骨除外(2)，年齡大於等於18歲，有合併症或併發症
DRG21914	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術兩處以上，髖、足及股骨除外(2)，年齡大於等於18歲，無合併症或併發症
DRG22017	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術兩處以上，髖、足及股骨除外(2)，年齡0-17歲，有合併症或併發症
DRG22018	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術兩處以上，髖、足及股骨除外(2)，年齡0-17歲，無合併症或併發症
DRG21804	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術1處，髖、足及股骨除外(2)，年齡大於等於18歲，有合併症或併發症
DRG21904	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術1處，髖、足及股骨除外(2)，年齡大於等於18歲，無合併症或併發症
DRG22007	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術1處，髖、足及股骨除外(2)，年齡0-17歲，有合併症或併發症
DRG22008	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，下肢及肱骨手術1處，髖、足及股骨除外(2)，年齡0-17歲，無合併症或併發症
DRG22301	開放性骨折，主要肩肘關節手術
DRG22302	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，主要肩肘關節手術
DRG22405	開放性骨折，其他肩肘或上肢手術兩處以上，有合併症或併發症
DRG22406	開放性骨折，其他肩肘或上肢手術兩處以上，無合併症或併發症
DRG22401	開放性骨折，其他肩肘或上肢手術1處，有合併症或併發症
DRG22402	開放性骨折，其他肩肘或上肢手術1處，無合併症或併發症
DRG22407	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，其他肩肘或上肢手術兩處以上，有合併症或併發症
DRG22408	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，其他肩肘或上肢手術兩處以上，無合併症或併發症
DRG22403	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，其他肩肘或上肢手術1處，有合併症或併發症
DRG22404	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，其他肩肘或上肢手術1處，無合併症或併發症
DRG22505	開放性骨折，足部手術兩處以上，有合併症或併發症
DRG22506	開放性骨折，足部手術兩處以上，無合併症或併發症
DRG22501	開放性骨折，足部手術1處，有合併症或併發症
DRG22502	開放性骨折，足部手術1處，無合併症或併發症
DRG22507	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，足部手術兩處以上，有合併症或併發症
DRG22508	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，足部手術兩處以上，無合併症或併發症
DRG22503	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，足部手術1處，有合併症或併發
DRG22504	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，足部手術1處，無合併症或併發症
DRG22601	軟組織手術(1)，有合併症或併發症
DRG22701	軟組織手術(1)，無合併症或併發症
DRG22602	軟組織手術(2)，有合併症或併發症
DRG22702	軟組織手術(2)，無合併症或併發症
DRG22801	手或腕開放性骨折行軟組織手術，有合併症或併發症
DRG22901	手或腕開放性骨折行軟組織手術，無合併症或併發症
DRG22802	手或腕開放性骨折行骨骼手術，有合併症或併發症
DRG22902	手或腕開放性骨折行骨骼手術，無合併症或併發症
DRG22803	手或腕開放性骨折行顯微手術，有合併症或併發症
DRG22903	手或腕開放性骨折行顯微手術，無合併症或併發症
DRG22804	手或腕閉鎖性骨折，或其他骨骼肌肉系統及結締組織之疾病與疾患，行軟組織手術，有合併症或併發症
DRG22904	手或腕閉鎖性骨折，或其他骨骼肌肉系統及結締組織之疾病與疾患，行軟組織手術，無合併症或併發症
DRG22805	手或腕閉鎖性骨折，或其他骨骼肌肉系統及結締組織之疾病與疾患，行骨骼手術，有合併症或併發症
DRG22905	手或腕閉鎖性骨折，或其他骨骼肌肉系統及結締組織之疾病與疾患，行骨骼手術，無合併症或併發症
DRG22806	手或腕閉鎖性骨折，或其他骨骼肌肉系統及結締組織之疾病與疾患，行顯微手術，有合併症或併發症
DRG22906	手或腕閉鎖性骨折，或其他骨骼肌肉系統及結締組織之疾病與疾患，行顯微手術，無合併症或併發症
DRG23001	髖及股骨內局部切除術，有合併症或併發症
DRG23002	髖及股骨內局部切除術，無合併症或併發症
DRG23005	內固定器移除術，三處以上，有合併症或併發症
DRG23006	內固定器移除術，三處以上，無合併症或併發症
DRG23007	內固定器移除術，二處，有合併症或併發症
DRG23008	內固定器移除術，二處，無合併症或併發症
DRG23009	內固定器移除術，一處，有合併症或併發症
DRG23010	內固定器移除術，一處，無合併症或併發症
DRG23101	局部骨切除術，髖及股骨除外，有合併症或併發症
DRG23102	局部骨切除術，髖及股骨除外，無合併症或併發症
DRG23201	關節內視鏡檢查，有合併症或併發症
DRG23202	關節內視鏡檢查，無合併症或併發症
DRG23301	其他顱骨手術，有合併症或併發症
DRG23302	其他顱骨手術，無合併症或併發症
DRG23403	先天顱顏疾患手術，有合併症或併發症
DRG23404	先天顱顏疾患手術，無合併症或併發症
DRG23405	脊柱側彎手術，有合併症或併發症
DRG23406	脊柱側彎手術，無合併症或併發症
DRG23407	肩關節再置換術，有合併症或併發症
DRG23408	肩關節再置換術，無合併症或併發症
DRG23401	其他骨骼、肌肉系統及結締組織手術，顱骨除外，有合併症或併發症
DRG23402	其他骨骼、肌肉系統及結締組織手術，顱骨除外，無合併症或併發症
DRG23501	股骨骨折(1)，有合併症或併發症
DRG23502	股骨骨折(1)，無合併症或併發症
DRG23503	股骨骨折(2)，有合併症或併發症
DRG23504	股骨骨折(2)，無合併症或併發症
DRG23601	髖骨及骨盆骨折，有合併症或併發症
DRG23602	髖骨及骨盆骨折，無合併症或併發症
DRG23701	髖骨、骨盆及大腿骨之扭傷、拉傷及脫臼，有合併症或併發症
DRG23702	髖骨、骨盆及大腿骨之扭傷、拉傷及脫臼，無合併症或併發症
DRG23801	骨髓炎(1)，有合併症或併發症
DRG23802	骨髓炎(1)，無合併症或併發症
DRG23803	骨髓炎(2)，有合併症或併發症
DRG23804	骨髓炎(2)，無合併症或併發症
DRG23805	骨髓炎(3)，有合併症或併發症
DRG23806	骨髓炎(3)，無合併症或併發症
DRG23901	病理性骨折及骨骼、肌肉及結締組織之腫瘤，有合併症或併發症
DRG23902	病理性骨折及骨骼、肌肉及結締組織之腫瘤，無合併症或併發症
DRG24001	結締組織疾患(1)，有合併症或併發症
DRG24101	結締組織疾患(1)，無合併症或併發症
DRG24004	川奇氏症，有合併症或併發症
DRG24104	川奇氏症，無合併症或併發症
DRG24005	血栓性微血管病變，有合併症或併發症
DRG24105	血栓性微血管病變，無合併症或併發症
DRG24006	類澱粉症等自體免疫疾病，有合併症或併發症
DRG24106	類澱粉症等自體免疫疾病，無合併症或併發症
DRG24002	其他結締組織疾患(2)，有合併症或併發症
DRG24102	其他結締組織疾患(2)，無合併症或併發症
DRG24003	結締組織疾患(3)，有合併症或併發症
DRG24103	結締組織疾患(3)，無合併症或併發症
DRG24201	敗血性關節炎，有合併症或併發症
DRG24202	敗血性關節炎，無合併症或併發症
DRG24203	結核菌性關節炎，有合併症或併發症
DRG24204	結核菌性關節炎，無合併症或併發症
DRG24205	其他感染性關節炎，有合併症或併發症
DRG24206	其他感染性關節炎，無合併症或併發症
DRG24303	發炎性脊椎病變問題，有合併症或併發症
DRG24301	發炎性脊椎病變問題，無合併症或併發症
DRG24302	內科性背部問題
DRG24304	關節退化
DRG24305	椎間盤疾患
DRG244	骨骼疾病及特定關節病變，有合併症或併發症
DRG245	骨骼疾病及特定關節病變，無合併症或併發症
DRG24601	未明示之關節病變，有合併症或併發症
DRG24602	未明示之關節病變，無合併症或併發症
DRG24701	骨骼、肌肉系統及結締組織之症狀及徵候，有合併症或併發症
DRG24702	骨骼、肌肉系統及結締組織之症狀及徵候，無合併症或併發症
DRG24803	肌腱炎、肌炎及滑囊炎併有壞死性筋膜炎
DRG24801	肌腱炎、肌炎及滑囊炎，無壞死性筋膜炎，有合併症或併發症
DRG24802	肌腱炎、肌炎及滑囊炎，無壞死性筋膜炎，無合併症或併發症
DRG24901	體內關節裝置物所致之感染及發炎反應，有合併症或併發症
DRG24902	體內關節裝置物所致之感染及發炎反應，無合併症或併發症
DRG24903	骨骼、肌肉系統及結締組織之恢復期照護，有合併症或併發症
DRG24904	骨骼、肌肉系統及結締組織之恢復期照護，無合併症或併發症
DRG250	前臂、手及足部之骨折、扭傷、拉傷及脫臼，年齡大於等於18歲，有合併症或併發症
DRG251	前臂、手及足部之骨折、扭傷、拉傷及脫臼，年齡大於等於18歲，無合併症或併發症
DRG252	前臂、手及足部之骨折、扭傷、拉傷及脫臼，年齡0~17歲
DRG253	上臂、小腿骨折、扭傷、拉傷及脫臼，年齡大於等於18歲，有合併症或併發症
DRG254	上臂、小腿骨折、扭傷、拉傷及脫臼，年齡大於等於18歲，無合併症或併發症
DRG255	上臂、小腿骨折、扭傷、拉傷及脫臼，年齡0-17歲
DRG25601	截肢殘肢之診斷，有合併症或併發症
DRG25602	截肢殘肢之診斷，無合併症或併發症
DRG25605	其他先天性骨骼、肌肉系統及結締組織之疾患，有合併症或併發症
DRG25606	其他先天性骨骼、肌肉系統及結締組織之疾患，無合併症或併發症
DRG25603	其他骨骼、肌肉系統及結締組織之疾患，有合併症或併發症
DRG25604	其他骨骼、肌肉系統及結締組織之疾患，無合併症或併發症
