DRG00101	腦血管疾病行顱骨切開術，有呼吸器，年齡大於等於18歲，有合併症或併發症
DRG01411	特定性腦血管疾患，暫時性腦部缺氧除外，採血栓溶解治療2支以上，有復健，年齡大於等於18歲，有合併症或併發症
DRG01412	特定性腦血管疾患，暫時性腦部缺氧除外，採血栓溶解治療2支以上，有復健，年齡大於等於18歲，無合併症或併發症
DRG01413	特定性腦血管疾患，暫時性腦部缺氧除外，採血栓溶解治療2支以上，無復健，年齡大於等於18歲，有合併症或併發症
DRG01414	特定性腦血管疾患，暫時性腦部缺氧除外，採血栓溶解治療2支以上，無復健，年齡大於等於18歲，無合併症或併發症
DRG01415	特定性腦血管疾患，暫時性腦部缺氧除外，採血栓溶解治療1支，有復健，年齡大於等於18歲，有合併症或併發症
DRG01416	特定性腦血管疾患，暫時性腦部缺氧除外，採血栓溶解治療1支，有復健，年齡大於等於18歲，無合併症或併發症
DRG01417	特定性腦血管疾患，暫時性腦部缺氧除外，採血栓溶解治療1支，無復健，年齡大於等於18歲，有合併症或併發症
DRG01418	特定性腦血管疾患，暫時性腦部缺氧除外，採血栓溶解治療1支，無復健，年齡大於等於18歲，無合併症或併發症
DRG01419	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 5分，有復健，年齡大於等於18歲，有合併症或併發症
DRG01420	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 5分，有復健，年齡大於等於18歲，無合併症或併發症
DRG01421	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 5分，無復健，年齡大於等於18歲，有合併症或併發症
DRG01422	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 5分，無復健，年齡大於等於18歲，無合併症或併發症
DRG01423	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 2-4分，有復健，年齡大於等於18歲，有合併症或併發症
DRG01424	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 2-4分，有復健，年齡大於等於18歲，無合併症或併發症
DRG01425	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 2-4分，無復健，年齡大於等於18歲，有合併症或併發症
DRG01426	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 2-4分，無復健，年齡大於等於18歲，無合併症或併發症
DRG01427	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 0-1分，有復健，年齡大於等於18歲，有合併症或併發症
DRG01428	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 0-1分，有復健，年齡大於等於18歲，無合併症或併發症
DRG01429	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 0-1分，無復健，年齡大於等於18歲，有合併症或併發症
DRG01430	特定性腦血管疾患，暫時性腦部缺氧除外，mRS 0-1分，無復健，年齡大於等於18歲，無合併症或併發症
DRG01401	特定性腦血管疾患，暫時性腦部缺氧除外(1)，0-17歲，有合併症或併發症
DRG01402	特定性腦血管疾患，暫時性腦部缺氧除外(1)，0-17歲，無合併症或併發症
DRG01403	特定性腦血管疾患，暫時性腦部缺氧除外(2)，0-17歲，有合併症或併發症
DRG01404	特定性腦血管疾患，暫時性腦部缺氧除外(2)，0-17歲，無合併症或併發症
DRG01405	特定性腦血管疾患，暫時性腦部缺氧除外(3)，0-17歲，有合併症或併發症
DRG01406	特定性腦血管疾患，暫時性腦部缺氧除外(3)，0-17歲，無合併症或併發症
DRG01501	腦前動脈阻塞(1)，有復健，有合併症或併發症
DRG01502	腦前動脈阻塞(1)，有復健，無合併症或併發症
DRG01507	腦前動脈阻塞(1)，無復健，有合併症或併發症
DRG01508	腦前動脈阻塞(1)，無復健，無合併症或併發症
DRG01503	腦前動脈阻塞(2)，有復健，有合併症或併發症
DRG01504	腦前動脈阻塞(2)，有復健，無合併症或併發症
DRG01513	腦前動脈阻塞(2)，無復健，有合併症或併發症
DRG01514	腦前動脈阻塞(2)，無復健，無合併症或併發症
DRG01505	暫時性腦部缺氧之發作，有呼吸器，有復健，有合併症或併發症
DRG01506	暫時性腦部缺氧之發作，有呼吸器，有復健，無合併症或併發症
DRG01515	暫時性腦部缺氧之發作，有呼吸器，無復健，有合併症或併發症
DRG01516	暫時性腦部缺氧之發作，有呼吸器，無復健，無合併症或併發症
DRG01517	暫時性腦部缺氧之發作，無呼吸器，有復健，有合併症或併發症
DRG01518	暫時性腦部缺氧之發作，無呼吸器，有復健，無合併症或併發症
DRG01519	暫時性腦部缺氧之發作，無呼吸器，無復健，有合併症或併發症
DRG01520	暫時性腦部缺氧之發作，無呼吸器，無復健，無合併症或併發症
DRG01601	未明示之腦血管疾患(1)，有呼吸器，有復健，有合併症或併發症
DRG01701	未明示之腦血管疾患(1)，有呼吸器，有復健，無合併症或併發症
DRG01603	未明示之腦血管疾患(1)，有呼吸器，無復健，有合併症或併發症
DRG01703	未明示之腦血管疾患(1)，有呼吸器，無復健，無合併症或併發症
DRG01604	未明示之腦血管疾患(1)，無呼吸器，有復健，有合併症或併發症
DRG01704	未明示之腦血管疾患(1)，無呼吸器，有復健，無合併症或併發症
DRG01605	未明示之腦血管疾患(1)，無呼吸器，無復健，有合併症或併發症
DRG01705	未明示之腦血管疾患(1)，無呼吸器，無復健，無合併症或併發症
DRG01602	未明示之腦血管疾患(2)，有復健，有合併症或併發症
DRG01702	未明示之腦血管疾患(2)，有復健，無合併症或併發症
DRG01606	未明示之腦血管疾患(2)，無復健，有合併症或併發症
DRG01706	未明示之腦血管疾患(2)，無復健，無合併症或併發症
DRG01801	腦及末梢神經疾患，有血漿置換術，有復健，有合併症或併發症
DRG01901	腦及末梢神經疾患，有血漿置換術，有復健，無合併症或併發症
DRG01802	腦及末梢神經疾患，有血漿置換術，無復健，有合併症或併發症
DRG01902	腦及末梢神經疾患，有血漿置換術，無復健，無合併症或併發症
DRG01803	腦及末梢神經疾患，無血漿置換術，有復健，有合併症或併發症
DRG01903	腦及末梢神經疾患，無血漿置換術，有復健，無合併症或併發症
DRG01804	腦及末梢神經疾患，無血漿置換術，無復健，有合併症或併發症
DRG01904	腦及末梢神經疾患，無血漿置換術，無復健，無合併症或併發症
DRG02001	顱內膿瘍，有復健，有合併症或併發症
DRG02002	顱內膿瘍，有復健，無合併症或併發症
DRG02005	顱內膿瘍，無復健，有合併症或併發症
DRG02006	顱內膿瘍，無復健，無合併症或併發症
DRG02007	其他腦炎，有復健，有合併症或併發症
DRG02008	其他腦炎，有復健，無合併症或併發症
DRG02009	其他腦炎，無復健，有合併症或併發症
DRG02010	其他腦炎，無復健，無合併症或併發症
DRG02011	急性感染性多發神經炎，有復健，有合併症或併發症
DRG02012	急性感染性多發神經炎，有復健，無合併症或併發症
DRG02013	急性感染性多發神經炎，無復健，有合併症或併發症
DRG02014	急性感染性多發神經炎，無復健，無合併症或併發症
DRG02015	其他神經系統感染，病毒性腦膜炎除外(1)，有復健，有合併症或併發症
DRG02016	其他神經系統感染，病毒性腦膜炎除外(1)，有復健，無合併症或併發症
DRG02017	其他神經系統感染，病毒性腦膜炎除外(1)，無復健，有合併症或併發症
DRG02018	其他神經系統感染，病毒性腦膜炎除外(1)，無復健，無合併症或併發症
DRG02003	疱疹性腦膜腦炎，有復健，有合併症或併發症
DRG02004	疱疹性腦膜腦炎，有復健，無合併症或併發症
DRG02019	疱疹性腦膜腦炎，無復健，有合併症或併發症
DRG02020	疱疹性腦膜腦炎，無復健，無合併症或併發症
DRG02021	其他神經系統感染，病毒性腦膜炎除外(2)，有復健，有合併症或併發症
DRG02022	其神經系統感染，病毒性腦膜炎除外(2)，有復健，無合併症或併發症
DRG02023	其神經系統感染，病毒性腦膜炎除外(2)，無復健，有合併症或併發症
DRG02024	其神經系統感染，病毒性腦膜炎除外(2)，無復健，無合併症或併發症
DRG02101	單純疱疹性腦膜炎，有復健，有合併症或併發症
DRG02102	單純疱疹性腦膜炎，有復健，無合併症或併發症
DRG02105	單純疱疹性腦膜炎，無復健，有合併症或併發症
DRG02106	單純疱疹性腦膜炎，無復健，無合併症或併發症
DRG02107	其他病毒性腦膜炎(1)，有復健，有合併症或併發症
DRG02108	其他病毒性腦膜炎(1)，有復健，無合併症或併發症
DRG02109	其他病毒性腦膜炎(1)，無復健，有合併症或併發症
DRG02110	其他病毒性腦膜炎(1)，無復健，無合併症或併發症
DRG02103	其他病毒性腦膜炎(2)，有復健，有合併症或併發症
DRG02104	其他病毒性腦膜炎(2)，有復健，無合併症或併發症
DRG02111	其他病毒性腦膜炎(2)，無復健，有合併症或併發症
DRG02112	其他病毒性腦膜炎(2)，無復健，無合併症或併發症
DRG02201	高血壓性腦病變，有復健，有合併症或併發症
DRG02202	高血壓性腦病變，有復健，無合併症或併發症
DRG02203	高血壓性腦病變，無復健，有合併症或併發症
DRG02204	高血壓性腦病變，無復健，無合併症或併發症
DRG02301	非創傷性木殭及昏迷，有復健，有合併症或併發症
DRG02302	非創傷性木殭及昏迷，有復健，無合併症或併發症
DRG02303	非創傷性木殭及昏迷，無復健，有合併症或併發症
DRG02304	非創傷性木殭及昏迷，無復健，無合併症或併發症
DRG02401	顛癇重積，年齡大於等於18歲，有合併症或併發症
DRG02501	顛癇重積，年齡大於等於18歲，無合併症或併發症
DRG02402	顛癇發作，年齡大於等於18歲，有合併症或併發症
DRG02502	顛癇發作，年齡大於等於18歲，無合併症或併發症
DRG02403	頭痛，年齡大於等於18歲，有合併症或併發症
DRG02503	頭痛，年齡大於等於18歲，無合併症或併發症
DRG02601	頑固性顛癇發作，年齡0-17歲，有合併症或併發症
DRG02602	頑固性顛癇發作，年齡0-17歲，無合併症或併發症
DRG02603	其他顛癇發作，年齡0-17歲，有合併症或併發症
DRG02604	其他顛癇發作，年齡0-17歲，無合併症或併發症
DRG02605	熱痙攣，年齡0-17歲，有合併症或併發症
DRG02606	熱痙攣，年齡0-17歲，無合併症或併發症
DRG02607	頭痛，年齡0-17歲，有合併症或併發症
DRG02608	頭痛，年齡0-17歲，無合併症或併發症
DRG02701	創傷性木殭及昏迷，昏迷超過1小時，有復健，有合併症或併發症
DRG02702	創傷性木殭及昏迷，昏迷超過1小時，有復健，無合併症或併發症
DRG02703	創傷性木殭及昏迷，昏迷超過1小時，無復健，有合併症或併發症
DRG02704	創傷性木殭及昏迷，昏迷超過1小時，無復健，無合併症或併發症
DRG02801	創傷性木殭及昏迷，昏迷少於1小時(1)，有復健，年齡大於等於18歲，有合併症或併發症
DRG02901	創傷性木殭及昏迷，昏迷少於1小時(1)，有復健，年齡大於等於18歲， 無合併症或併發症
DRG02804	創傷性木殭及昏迷，昏迷少於1小時(1)，無復健，年齡大於等於18歲，有合併症或併發症
DRG02904	創傷性木殭及昏迷，昏迷少於1小時(1)，無復健，年齡大於等於18歲， 無合併症或併發症
DRG03001	創傷性木殭及昏迷，昏迷少於1小時(1)，年齡 0-17歲， 有合併症或併發症
DRG03002	創傷性木殭及昏迷，昏迷少於1小時(1)，年齡 0-17歲， 無合併症或併發症
DRG02802	創傷性木殭，無昏迷，有復健，年齡大於等於18歲，有合併症或併發症
DRG02902	創傷性木殭，無昏迷，有復健，年齡大於等於18歲， 無合併症或併發症
DRG02805	創傷性木殭，無昏迷，無復健，年齡大於等於18歲，有合併症或併發症
DRG02905	創傷性木殭，無昏迷，無復健，年齡大於等於18歲， 無合併症或併發症
DRG03003	創傷性木殭，無昏迷，年齡 0-17歲， 有合併症或併發症
DRG03004	創傷性木殭，無昏迷，年齡 0-17歲， 無合併症或併發症
DRG02803	創傷性木殭，有腦震盪，有復健，年齡大於等於18歲，有合併症或併發症
DRG02903	創傷性木殭，有腦震盪，有復健，年齡大於等於18歲， 無合併症或併發症
DRG02806	創傷性木殭，有腦震盪，無復健，年齡大於等於18歲，有合併症或併發症
DRG02906	創傷性木殭，有腦震盪，無復健，年齡大於等於18歲， 無合併症或併發症
DRG03005	創傷性木殭，有腦震盪，年齡 0-17歲， 有合併症或併發症
DRG03006	創傷性木殭，有腦震盪，年齡 0-17歲， 無合併症或併發症
DRG031	腦震盪，年齡大於等於18歲，有合併症或併發症
DRG032	腦震盪，年齡大於等於18歲，無合併症或併發症
DRG03301	腦震盪，年齡0-17歲，有合併症或併發症
DRG03302	腦震盪，年齡0-17歲，無合併症或併發症
DRG03401	其他神經系統疾患，有復健，有合併症或併發症
DRG03501	其他神經系統疾患，有復健，無合併症或併發症
DRG03402	其他神經系統疾患，無復健，有合併症或併發症
DRG03502	其他神經系統疾患，無復健，無合併症或併發症
