DRG07505	肺切除術，有合併症或併發症
DRG08704	其他肺充血及水腫，無合併症或併發症
DRG08801	慢性阻塞性肺疾病，有合併症或併發症
DRG08802	慢性阻塞性肺疾病，無合併症或併發症
DRG08901	單純性肺炎及胸（肋）膜炎，年齡大於等於80歲，有合併症或併發症
DRG09001	單純性肺炎及胸（肋）膜炎，年齡大於等於80歲，無合併症或併發症
DRG08902	單純性肺炎及胸（肋）膜炎，年齡18-79歲，有合併症或併發症
DRG09002	單純性肺炎及胸（肋）膜炎，年齡18-79歲，無合併症或併發症
DRG09101	單純性肺炎及胸（肋）膜炎，年齡0-17歲，有合併症或併發症
DRG09102	單純性肺炎及胸（肋）膜炎，年齡0-17歲，無合併症或併發症
DRG092	間質性肺部疾病，有合併症或併發症
DRG093	間質性肺部疾病，無合併症或併發症
DRG094	氣胸，合併症或併發症
DRG095	氣胸，無合併症或併發症
DRG09601	支氣管炎及氣喘(1)，年齡大於等於18歲，有合併症或併發症
DRG09701	支氣管炎及氣喘(1)，年齡大於等於18歲，無合併症或併發症
DRG09801	支氣管炎及氣喘(1)，年齡0-17歲，有合併症或併發症
DRG09802	支氣管炎及氣喘(1)，年齡0-17歲，無合併症或併發症
DRG09602	支氣管炎及氣喘(2)，年齡大於等於18歲，有合併症或併發症
DRG09702	支氣管炎及氣喘(2)，年齡大於等於18歲，無合併症或併發症
DRG09803	支氣管炎及氣喘(2)，年齡0-17歲，有合併症或併發症
DRG09804	支氣管炎及氣喘(2)，年齡0-17歲，無合併症或併發症
DRG09901	換氣過度，有合併症或併發症
DRG10001	換氣過度，無合併症或併發症
DRG09904	無呼吸，有合併症或併發症
DRG10004	無呼吸，無合併症或併發症
DRG09905	肺功能不全，有呼吸器，有合併症或併發症
DRG10005	肺功能不全，有呼吸器，無合併症或併發症
DRG09906	肺功能不全，無呼吸器，有合併症或併發症
DRG10006	肺功能不全，無呼吸器，無合併症或併發症
DRG09902	其他呼吸系統症狀及徵候，有呼吸器，有合併症或併發症
DRG10002	其他呼吸系統症狀及徵候，有呼吸器，無合併症或併發症
DRG09907	其他呼吸系統症狀及徵候，無呼吸器，有合併症或併發症
DRG10007	其他呼吸系統症狀及徵候，無呼吸器，無合併症或併發症 
DRG09903	咳血，有合併症或併發症
DRG10003	咳血，無合併症或併發症
DRG10101	其他呼吸系統診斷(1)，有合併症或併發症
DRG10201	其他呼吸系統診斷(1)，無合併症或併發症
DRG10102	其他呼吸系統診斷(2)，有合併症或併發症
DRG10202	其他呼吸系統診斷(2)，無合併症或併發症
DRG10103	其他呼吸系統診斷(3)，有合併症或併發症
DRG10203	其他呼吸系統診斷(3)，無合併症或併發症
DRG10104	其他呼吸系統診斷(4)，有合併症或併發症
DRG10204	其他呼吸系統診斷(4)，無合併症或併發症
DRG10105	其他呼吸系統診斷(5)，有合併症或併發症
DRG10205	其他呼吸系統診斷(5)，無合併症或併發症
DRG10106	氣管，支氣管及肺之異物，有合併症或併發症
DRG10206	氣管，支氣管及肺之異物，無合併症或併發症
DRG10107	喉，氣管及肺燒傷，有合併症或併發症
DRG10207	喉，氣管及肺燒傷，無合併症或併發症
DRG47501	使用人工呼吸器之呼吸系統診斷，使用呼吸器大於等於96小時，有合併症或併發症
DRG47502	使用人工呼吸器之呼吸系統診斷，使用呼吸器大於等於96小時，無合併症或併發症
DRG47503	使用人工呼吸器之呼吸系統診斷，使用呼吸器小於96小時，有合併症或併發症
DRG47504	使用人工呼吸器之呼吸系統診斷，使用呼吸器小於96小時，無合併症或併發症
