DRG30201	腎移植，有合併症或併發症
DRG318	腎及泌尿道腫瘤，有合併症或併發症
DRG319	腎及泌尿道腫瘤，無合併症或併發症
DRG320	腎及泌尿道感染，年齡大於等於18歲，有合併症或併發症
DRG321	腎及泌尿道感染，年齡大於等於18歲，無合併症或併發症
DRG32203	腎及泌尿道感染(1)，年齡0-17歲，有合併症或併發症
DRG32204	腎及泌尿道感染(1)，年齡0-17歲，無合併症或併發症
DRG32201	腎及泌尿道感染(2)，年齡0-17歲，有合併症或併發症
DRG32202	腎及泌尿道感染(2)，年齡0-17歲，無合併症或併發症
DRG32301	尿道結石，有體外震波碎石術治療(1)，有合併症或併發症
DRG32401	尿道結石，有體外震波碎石術治療(1)，無合併症或併發症
DRG32302	尿道結石，無體外震波碎石術治療(2)，有合併症或併發症
DRG32402	尿道結石，無體外震波碎石術治療(2)，無合併症或併發症
DRG325	腎及泌尿道症狀及徵候，年齡大於等於18歲，有合併症或併發症
DRG326	腎及泌尿道症狀及徵候，年齡大於等於18歲，無合併症或併發症
DRG32701	腎及泌尿道症狀及徵候，年齡0-17歲，有合併症或併發症
DRG32702	腎及泌尿道症狀及徵候，年齡0-17歲，無合併症或併發症
DRG328	尿道狹窄，年齡大於等於18歲，有合併症或併發症
DRG329	尿道狹窄，年齡大於等於18歲，無合併症或併發症
DRG33001	尿道狹窄，年齡0-17歲，有合併症或併發症
DRG33002	尿道狹窄，年齡0-17歲，無合併症或併發症
DRG33101	急性腎絲球腎炎，年齡大於等於18歲，有合併症或併發症
DRG33201	急性腎絲球腎炎，年齡大於等於18歲，無合併症或併發症
DRG33301	急性腎絲球腎炎，年齡0-17歲，有合併症或併發症
DRG33302	急性腎絲球腎炎，年齡0-17歲，無合併症或併發症
DRG33102	腎病徵候群，年齡大於等於18歲，有合併症或併發症
DRG33202	腎病徵候群，年齡大於等於18歲，無合併症或併發症
DRG33303	腎病徵候群，年齡0-17歲，有合併症或併發症
DRG33304	腎病徵候群，年齡0-17歲，無合併症或併發症
DRG33103	慢性腎絲球腎炎，年齡大於等於18歲，有合併症或併發症
DRG33203	慢性腎絲球腎炎，年齡大於等於18歲，無合併症或併發症
DRG33305	慢性腎絲球腎炎，年齡0-17歲，有合併症或併發症
DRG33306	慢性腎絲球腎炎，年齡0-17歲，無合併症或併發症
DRG33104	其他腎炎及腎病變，年齡大於等於18歲，有合併症或併發症
DRG33204	其他腎炎及腎病變，年齡大於等於18歲，無合併症或併發症
DRG33307	其他腎炎及腎病變，年齡0-17歲，有合併症或併發症
DRG33308	其他腎炎及腎病變，年齡0-17歲，無合併症或併發症
DRG33105	先天性腎疾患，年齡大於等於18歲，有合併症或併發症
DRG33205	先天性腎疾患，年齡大於等於18歲，無合併症或併發症
DRG33309	先天性腎疾患，年齡0-17歲，有合併症或併發症
DRG33310	先天性腎疾患，年齡0-17歲，無合併症或併發症
DRG33106	捐腎，年齡大於等於18歲，有合併症或併發症
DRG33206	捐腎，年齡大於等於18歲，無合併症或併發症
DRG33311	捐腎，年齡0-17歲，有合併症或併發症
DRG33312	捐腎，年齡0-17歲，無合併症或併發症
DRG33107	其他腎及泌尿道診斷，年齡大於等於18歲，有合併症或併發症
DRG33207	其他腎及泌尿道診斷，年齡大於等於18歲，無合併症或併發症
DRG33313	其他腎及泌尿道診斷，年齡0-17歲，有合併症或併發症
DRG33314	其他腎及泌尿道診斷，年齡0-17歲，無合併症或併發症
