DRG14601	直腸切除術，年齡大於等於41歲，有合併症或併發症
DRG15608	胃、食道及十二指腸手術(4)，年齡0-17歲，無合併症或併發症
DRG15701	肛門及廔孔手術(1)，有合併症或併發症
DRG15801	肛門及廔孔手術(1)，無合併症或併發症
DRG15702	肛門及廔孔手術(2)，有合併症或併發症
DRG15802	肛門及廔孔手術(2)，無合併症或併發症
DRG159	疝氣手術，股及腹股溝疝氣手術除外，年齡大於等於18歲，有合併症或併發症
DRG160	疝氣手術，股及腹股溝疝氣手術除外，年齡大於等於18歲，無合併症或併發症
DRG16101	雙側股及腹股溝疝氣手術，年齡大於等於18歲，有合併症或併發症
DRG16201	雙側股及腹股溝疝氣手術，年齡大於等於18歲，無合併症或併發症
DRG16102	單側股及腹股溝疝氣手術，年齡大於等於18歲，有合併症或併發症
DRG16202	單側股及腹股溝疝氣手術，年齡大於等於18歲，無合併症或併發症
DRG16301	腹壁畸形之疝氣手術，年齡0-17歲，有合併症或併發症
DRG16302	腹壁畸形之疝氣手術，年齡0-17歲，無合併症或併發症
DRG16303	雙側及其他疝氣手術，年齡0-17歲，有合併症或併發症
DRG16304	雙側及其他疝氣手術，年齡0-17歲，無合併症或併發症
DRG16305	單側疝氣手術，年齡0-17歲，有合併症或併發症
DRG16306	單側疝氣手術，年齡0-17歲，無合併症或併發症
DRG16401	複雜診斷之腹腔鏡闌尾切除術，有合併症或併發症
DRG16501	複雜診斷之腹腔鏡闌尾切除術，無合併症或併發症
DRG16402	複雜診斷之闌尾切除術，有合併症或併發症
DRG16502	複雜診斷之闌尾切除術，無合併症或併發症
DRG16601	單純性腹腔鏡闌尾切除術，有合併症或併發症
DRG16701	單純性腹腔鏡闌尾切除術，無合併症或併發症
DRG16602	單純性闌尾切除術，有合併症或併發症
DRG16702	單純性闌尾切除術，無合併症或併發症
DRG170	其他消化系統手術，有合併症或併發症
DRG171	其他消化系統手術，無合併症或併發症
DRG17201	食道、胃之原位癌，有合併症或併發症
DRG17301	食道、胃之原位癌，無合併症或併發症
DRG17202	結腸、直腸、肛管、肛門之原位癌，有合併症或併發症
DRG17302	結腸、直腸、肛管、肛門之原位癌，無合併症或併發症
DRG17203	其他消化系統原位癌或性質未明腫瘤，有合併症或併發症
DRG17303	其他消化系統原位癌或性質未明腫瘤，無合併症或併發症
DRG17401	食道靜脈曲張併出血，施行內視鏡處置，有合併症或併發症
DRG17501	食道靜脈曲張併出血，施行內視鏡處置，無合併症或併發症
DRG17405	食道靜脈曲張併出血，無內視鏡處置，有合併症或併發症
DRG17505	食道靜脈曲張併出血，無內視鏡處置，無合併症或併發症
DRG17402	胃、十二指腸、空腸潰瘍併出血，施行內視鏡處置，有合併症或併發症
DRG17502	胃、十二指腸、空腸潰瘍併出血，施行內視鏡處置，無合併症或併發症
DRG17406	胃、十二指腸、空腸潰瘍併出血，無內視鏡處置，有合併症或併發症
DRG17506	胃、十二指腸、空腸潰瘍併出血，無內視鏡處置，無合併症或併發症
DRG17403	小腸及大腸出血，施行內視鏡處置，有合併症或併發症
DRG17503	小腸及大腸出血，施行內視鏡處置，無合併症或併發症
DRG17407	小腸及大腸出血，無內視鏡處置，有合併症或併發症
DRG17507	小腸及大腸出血，無內視鏡處置，無合併症或併發症
DRG17408	其他胃腸出血併多重器官衰竭
DRG17404	其他胃腸出血，無多重器官衰竭，有合併症或併發症
DRG17504	其他胃腸出血，無多重器官衰竭，無合併症或併發症
DRG17601	重度消化性潰瘍(1)，有合併症或併發症
DRG17602	重度消化性潰瘍(1)，無合併症或併發症
DRG17603	重度消化性潰瘍(2)，有合併症或併發症
DRG17604	重度消化性潰瘍(2)，無合併症或併發症
DRG177	輕度消化性潰瘍，有合併症或併發症
DRG178	輕度消化性潰瘍，無合併症或併發症
DRG17911	克隆氏症(1)，有多重複雜次診斷，年齡大於等於18歲
DRG17912	克隆氏症(1)，有多重複雜次診斷，年齡 0-17歲
DRG17913	克隆氏症(1)，無多重複雜次診斷，年齡大於等於18歲，有合併症或併發症
DRG17914	克隆氏症(1)，無多重複雜次診斷，年齡大於等於18歲，無合併症或併發症
DRG17915	克隆氏症(1)，無多重複雜次診斷，年齡0-17歲，有合併症或併發症
DRG17916	克隆氏症(1)，無多重複雜次診斷，年齡0-17歲，無合併症或併發症
DRG17917	克隆氏症(2)，有多重複雜次診斷，年齡大於等於18歲
DRG17918	克隆氏症(2)，有多重複雜次診斷，年齡0-17歲
DRG17919	克隆氏症(2)，無多重複雜次診斷，年齡大於等於18歲，有合併症或併發症
DRG17920	克隆氏症(2)，無多重複雜次診斷，年齡大於等於18歲，無合併症或併發症
DRG17921	克隆氏症(2)，無多重複雜次診斷，年齡0-17歲，有合併症或併發症
DRG17922	克隆氏症(2)，無多重複雜次診斷，年齡0-17歲，無合併症或併發症
DRG17931	潰瘍性大腸炎，有多重複雜次診斷，年齡大於等於18歲
DRG17932	潰瘍性大腸炎，有多重複雜次診斷，年齡 0-17歲
DRG17933	潰瘍性大腸炎，無多重複雜次診斷，年齡大於等於18歲，有合併症或併發症
DRG17934	潰瘍性大腸炎，無多重複雜次診斷，年齡大於等於18歲，無合併症或併發症
DRG17935	潰瘍性大腸炎，無多重複雜次診斷，年齡0-17歲，有合併症或併發症
DRG17936	潰瘍性大腸炎，無多重複雜次診斷，年齡0-17歲，無合併症或併發症
DRG17937	其他腸炎有多重複雜次診斷，年齡大於等於18歲
DRG17938	其他腸炎)有多重複雜次診斷，年齡0-17歲
DRG17939	其他腸炎，無多重複雜次診斷，年齡大於等於18歲，有合併症或併發症
DRG17940	其他腸炎，無多重複雜次診斷，年齡大於等於18歲，無合併症或併發症
DRG17941	其他腸炎，無多重複雜次診斷，年齡0-17歲，有合併症或併發症
DRG17942	其他腸炎，無多重複雜次診斷，年齡0-17歲，無合併症或併發症
DRG18001	胃腸阻塞，年齡大於等於18歲，有合併症或併發症
DRG18101	胃腸阻塞，年齡大於等於18歲，無合併症或併發症
DRG18002	胃腸阻塞(1)，年齡 0-17歲，有合併症或併發症
DRG18102	胃腸阻塞(1)，年齡 0-17歲，無合併症或併發症
DRG18003	胃腸阻塞(2)，年齡 0-17歲，有合併症或併發症
DRG18103	胃腸阻塞(2)，年齡 0-17歲，無合併症或併發症
DRG182	食道炎、胃腸炎及各種消化性疾病，年齡大於等於18歲，有合併症或併發症
DRG183	食道炎、胃腸炎及各種消化性疾病，年齡大於等於18歲，無合併症或併發症
DRG18403	食道穿孔、狹窄及瘻管，年齡0-17歲，有合併症或併發症
DRG18404	食道穿孔、狹窄及瘻管，年齡0-17歲，無合併症或併發症
DRG18405	食道炎及其他消化性疾病，年齡0-17歲，有合併症或併發症
DRG18406	食道炎及其他消化性疾病，年齡0-17歲，無合併症或併發症
DRG18401	其他消化性疾病，年齡0-17歲，有合併症或併發症
DRG18402	其他消化性疾病，年齡0-17歲，無合併症或併發症
DRG18801	其他消化系統診斷(1)，年齡大於等於18歲，有合併症或併發症
DRG18901	其他消化系統診斷(1)，年齡大於等於18歲，無合併症或併發症
DRG19001	其他消化系統診斷(1)，年齡0-17歲，有合併症或併發症
DRG19002	其他消化系統診斷(1)，年齡0-17歲，無合併症或併發症
DRG18802	其他消化系統診斷(2)，年齡大於等於18歲，有合併症或併發症
DRG18902	其他消化系統診斷(2)，年齡大於等於18歲，無合併症或併發症
DRG19003	其他消化系統診斷(2)，年齡0~17歲，有合併症或併發症
DRG19004	其他消化系統診斷(2)，年齡0~17歲，無合併症或併發症
DRG18803	其他消化系統診斷(3)，年齡大於等於18歲，有合併症或併發症
DRG18903	其他消化系統診斷(3)，年齡大於等於18歲，無合併症或併發症
DRG19005	其他消化系統診斷(3)，年齡0-17歲，有合併症或併發症
DRG19006	其他消化系統診斷(3)，年齡0-17歲，無合併症或併發症
DRG18806	腸穿孔，年齡大於等於18歲，有合併症或併發症
DRG18906	腸穿孔，年齡大於等於18歲，無合併症或併發症
DRG19011	腸穿孔，年齡 0-17歲，有合併症或併發症
DRG19012	腸穿孔，年齡 0-17歲，無合併症或併發症
DRG18804	其他消化系統診斷(4)，年齡大於等於18歲，有合併症或併發症
DRG18904	其他消化系統診斷(4)，年齡大於等於18歲，無合併症或併發症
DRG19007	其他消化系統診斷(4)，年齡0-17歲，有合併症或併發症
DRG19008	其他消化系統診斷(4)，年齡0-17歲，無合併症或併發症
DRG18807	其他消化系統診斷(6)，年齡大於等於18歲，有合併症或併發症
DRG18907	其他消化系統診斷(6)，年齡大於等於18歲，無合併症或併發症
DRG19013	其他消化系統診斷(6)，年齡0-17歲，有合併症或併發症
DRG19014	其他消化系統診斷(6)，年齡0-17歲，無合併症或併發症
DRG18808	其他消化系統診斷(7)，年齡大於等於18歲，有合併症或併發症
DRG18908	其他消化系統診斷(7)，年齡大於等於18歲，無合併症或併發症
DRG19015	其他消化系統診斷(7)，年齡0-17歲，有合併症或併發症
DRG19016	其他消化系統診斷(7)，年齡0-17歲，無合併症或併發症
DRG18805	其他消化系統診斷(5)，年齡大於等於18歲，有合併症或併發症
DRG18905	其他消化系統診斷(5)，年齡大於等於18歲，無合併症或併發症
DRG19009	其他消化系統診斷(5)，年齡0-17歲，有合併症或併發症
DRG19010	其他消化系統診斷(5)，年齡0-17歲，無合併症或併發症
